"I'm not sure.",ちょっとわからないな。
"What did you tell him?",彼に何を話したのですか？
"Let me tell you a village myth.",村の神話を教えましょう。
"Just tell me what happened.",何が起きたか教えてください。
"Your lack of study will tell against you in the test.",勉強不足は試験で不利になります。
"Never tell on her.",絶対彼女に言わないでください。
"Let me tell you how much I love you.",どれだけ君を愛しているか教えてあげます。
"Tell him to run away.",彼に逃げるように言ってください。
"It's always hard to tell the truth.",本当のことを言うのはいつも難しいですね。
"You should talk about it.",話してみてください。
"Come here and talk with me",ここに来て私と話しましょう。
"Don't talk back to me.",口答えしないでください。
"Talk me through the game",ゲームのやり方を教えてください。
"Let's talk, now.",今話してください。
"Go and talk to her.",行って話してきてください。
"Don't hesitate to talk about yourself.",遠慮しないで自分のことを話してください。
"Please talk me out of my stress.",ストレス解消のために私と話してください。
"I just needed to talk.",話したかっただけです。
"We should talk on the phone.",電話で話した方がいいです。
"I'll call the police.",警察を呼びます。
"Call me Max.",マックスと呼んでください。
"I'll call you back.",かけ直します。
"We should have called for help.",助けを呼ぶべきでした。
"I am going to call in sick.",病欠のため、電話をするつもりです。
"How can you call them a friend?",どうしてあの人たちを友達と呼べるのですか？
"She is going to call him up for a dinner.",彼女は電話で彼を夕食に誘うつもりです。
"Who should we call?",誰に電話すればいいのですか？
"Give me a phone call.",電話をかけてください。
"Call him back to the restaurant.",彼をレストランに呼び戻してください。
"She was happy to hear the good news.",彼女は良い知らせを聞いて喜んでいました。
"I want you to hear me out.",私の話を最後まで聞いてください。
"You need to hear the result first.",まず結果を聞いてください。
"I hear you.",分かります。
"I could almost hear him scream.",彼の叫び声が聞こえてきそうでした。
"I'm happy to hear from you.",あなたの声が聞けてよかったです。
"Now that you told me, I started to hear it.",言われたから、聞こえるようになりました。
"I don't want our kids to hear this.",子供には聞かせたくありません。
"Did you hear him come home?",彼が帰ってくるのが聞こえましたか？
"There's nothing for you to find.",探す物は何もありません。
"Let me find it out.",私に調べさせてください。
"Find me at the bar.",バーで会いましょう。
"She needs to find her real father.",彼女は本当の父親を探す必要がありました。
"I find this pen really useful.",このペンは本当に便利です。
"Where did you find her?",どこで彼女を見つけたんですか？
"Would you find my phone?",私の携帯を見つけてくれますか？
"I woke to find myself lying at the beach.",目が覚めたら浜辺で寝ていました。
"I cannot find any more plates.",これ以上お皿は見つかりません。
"Help me find my friend.",私の友人を探すのを手伝ってください。
"I don't think so.",そんなことはありません。
"You should think over about quitting school.",学校を辞めることについてはよく考えてください。
"I don't want to think about it now.",今は考えたくありません。
"You need to think ahead of time.",先に考えておく必要があります。
"When I think back on my time in Kyoto.",京都にいた頃を思い出します。
"Think about my feelings.",私の気持ちも考えてください。
"What do you think of my room?",私の部屋、どう思いますか？
"I think you might like it.",気に入ると思います。
"Please think it through.",ぜひ、よく考えてみてください。
"I can see through this window.",この窓から見えます。
"Let me see your phone.",携帯を見せてください。
"I'll see you later.",また後で会いましょう。
"Can I see your family?",家族に会わせてもらえますか？
"He will never see it happen.",彼はそれを決して見ることはありません。
"Did you see him?",彼を見ましたか？
"See you in a moment.",また後で。
"I see your point.",言いたいことはわかります。
"Please see him in the room.",部屋で彼と会ってください。
"I don't want to see anything.",私は何も見たくありません。
"I'll watch the baby.",赤ん坊の面倒は私が見ます。
"Watch out for the steps.",階段に気をつけてください。
"I just bought this watch.",この時計は買ったばかりです。
"You can watch an anime.",アニメを見てもいいですよ。
"It hurt to watch him cry.",泣くのを見るのはつらいです。
"What movie do you want to watch?",どんな映画を観たいですか？
"He continued to watch her.",彼は彼女を見続けました。
"I am not going to watch you dance.",あなたのダンスを見ているつもりありません。
"You can also watch them online.",ネットでも見ることができます。
"I am on watch tonight.",今夜は私が見張り役です。
"Look at me in the eyes.",私の目を見てください。
"You can look for it later.",あとでも探せます。
"Don't look back.",振り返らないでください。
"Look at this mess.",このひどい状況をみてください。
"She often looks out for her sisters.",彼女はよく姉妹の面倒をみていました。
"Don't look over my shoulders.",私の肩越しに見ないでください。
"The damage doesn't look as bad.",被害はそれほどでもないようです。
"Look through that documents.",その資料に目を通してください。
"Tom looks up to his boss.",トムは上司を尊敬しています。
"Do I look cute?",私はかわいいですか？
"We can meet up for a drink.",飲みに行きませんか？
"I could not meet the expectation.",期待に応えられませんでした。
"I always wanted to meet you.",ずっと会いたかった。
"We will meet again sometime.",またいつか会いましょう。
"The river meets the ocean.",海と川の境界線。
"Can you meet me at the mall?",ショッピングモールで会えますか？
"This was a nice meet-up.",本当に素敵な出会いです。
"Come and meet my baby.",私の赤ちゃんに会いに来てください。
"How did you meet him?",どうやって彼と出会ったのですか？
"I was run over by a car.",私は車にひかれました。
"How fast can you run?",どのくらいの速さで走れますか？
"I run around the lake every night.",私は毎晩湖の周りを走っています。
"Why did you run away from me?",なぜ私から逃げたのですか？
"Please don't run against me.",私と対立しないでください。
"This school is run by my dad.",この学校は僕のお父さんが経営しています。
"My water is going to run out soon.",私の水がもうすぐ無くなります。
